Repository URL,Commit ID
"['https://github.com/facebook/fbthrift', '08c2d412adb214c40bb03be7587057b25d053030']","['https://github.com/facebook/fbthrift', '71c97ffdcb61cccf1f8267774e873e21ebd3ebd3']"
"['https://github.com/spring-projects/spring-framework', 'dac97f1b7dac3e70ff603fb6fc9f205b95dd6b01']","['https://github.com/spring-projects/spring-framework', 'f2694a8ed93f1f63f87ce45d0bb638478b426acd']"
"['https://gitbox.apache.org/repos/asf/activemq.git', '729c4731574ffffaf58ebefdbaeb3bd19ed1c7b7']","['https://gitbox.apache.org/repos/asf/activemq.git', '9fd5cb7dfe0fcc431f99d5e14206e0090e72f36b']"
"['https://git-wip-us.apache.org/repos/asf/activemq.git', '338a74dfa42a7b19d39adecacfa5f626a050e807']","['https://git-wip-us.apache.org/repos/asf/activemq.git', 'b8fc78ec6c367cbe2a40a674eaec64ac3d7d1ec']"
"['https://github.com/apache/activemq', '48cd61dda07c1ef212d0e9dce5a4398983faf79']","['https://github.com/apache/activemq', '58382283330f7c7b110c7afd8ef4ca264878653']"
"['https://github.com/SmartBear/soapui', '429cb2142c536b40a52666d9efc72ec8e5e9235e']","['https://github.com/SmartBear/soapui', 'a4755e6b10c813c6efbe3b8e8a81a61027a8595a']"
"['https://github.com/apache/logging-log4j2', '6851b5']","['https://github.com/apache/logging-log4j2', 'fb91a3']"
"['https://github.com/saltstack/salt', '22d2f7a1ec93300c34e8c42d14ec39d51e610b5c']","['https://github.com/saltstack/salt', 'b49d0d4b5ca5c6f31f03e2caf97cef1088eeed81']"
"['https://github.com/spring-cloud/spring-cloud-netflix', '624bbc8b50f7b5b6a1addc62040e4f2587f24f1']","['https://github.com/spring-cloud/spring-cloud-netflix', 'a9f0315aad10fed83d98e5d143a82a5bf859c54']"
"['https://github.com/apache/struts', '01584fabc74635d63a1b2670f18d8fcd1ee046cc']","['https://github.com/apache/struts', 'fd27e5cc748420a53d51e0e19a10efe8c582c2c0']"
"['https://github.com/apache/spark', '9416b7c54bdf5613c1a65e6d1779a87591c6c9b']","['https://github.com/apache/spark', 'c80d5f7aa0fd9e7b37e1bf4175204750098a44a']"
"['https://github.com/eclipse/jetty.project', '53e8bc2a636707e896fd106fbee3596823c2cdc']","['https://github.com/eclipse/jetty.project', 'a51920d650d924cc2cea011995624b394437c6e']"
